,0
Start,2020-01-20 00:00:00
End,2023-12-31 00:00:00
Duration,1441 days 00:00:00
Exposure Time [%],7.004160887656033
Equity Final [$],150132.1857080378
Equity Peak [$],162637.2940568563
Commissions [$],3325.643530451683
Return [%],50.13218570803781
Buy & Hold Return [%],388.1835571127659
Return (Ann.) [%],10.833020118332737
Volatility (Ann.) [%],15.19791630936134
CAGR [%],10.840931352409665
Sharpe Ratio,0.7127964056270009
Sortino Ratio,1.1944579871207772
Calmar Ratio,0.7876683324196885
Alpha [%],50.329522154039125
Beta,-0.0005083585906344485
Max. Drawdown [%],-13.753276185490526
Avg. Drawdown [%],-4.489195126359741
Max. Drawdown Duration,611 days 00:00:00
Avg. Drawdown Duration,93 days 00:00:00
# Trades,30
Win Rate [%],60.0
Best Trade [%],15.457254237749375
Worst Trade [%],-11.986820771346007
Avg. Trade [%],1.6361796021635788
Max. Trade Duration,9 days 00:00:00
Avg. Trade Duration,3 days 00:00:00
Profit Factor,1.9485054241915973
Expectancy [%],1.8352476566897546
SQN,1.4131482101109416
Kelly Criterion,0.2688708540505623
_strategy,TurningPointStrategy
_equity_curve,"                   Equity  DrawdownPct DrawdownDuration
Date                                                   
2020-01-20  100000.000000      0.00000              NaT
2020-01-21  100000.000000      0.00000              NaT
2020-01-22  100000.000000      0.00000              NaT
2020-01-23  100000.000000      0.00000              NaT
2020-01-24  100000.000000      0.00000              NaT
...                   ...          ...              ...
2023-12-27  150132.185708      0.07689              NaT
2023-12-28  150132.185708      0.07689              NaT
2023-12-29  150132.185708      0.07689              NaT
2023-12-30  150132.185708      0.07689              NaT
2023-12-31  150132.185708      0.07689          60 days

[1442 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar    EntryPrice  ...  EntryTime   ExitTime  Duration   Tag
0    -12        48       52   8108.116211  ... 2020-03-08 2020-03-12    4 days  None
1    -21        52       53   4970.788086  ... 2020-03-12 2020-03-13    1 days  None
2      9       108      111   9951.518555  ... 2020-05-07 2020-05-10    3 days  None
3      9       184      185   9525.363281  ... 2020-07-22 2020-07-23    1 days  None
4      9       187      188   9677.113281  ... 2020-07-25 2020-07-26    1 days  None
5      9       188      189   9905.166992  ... 2020-07-26 2020-07-27    1 days  None
6      9       189      190  10990.873047  ... 2020-07-27 2020-07-28    1 days  None
7      8       193      195  11323.466797  ... 2020-07-31 2020-08-02    2 days  None
8      8       273      275  11742.037109  ... 2020-10-19 2020-10-21    2 days  None
9      8       275      281  12823.689453  ... 2020-10-21 2020-10-27    6 days  None
10     8       281      282  13654.218750  ... 2020-10-27 2020-10-28    1 days  None
11     7       289      290  14133.707031  ... 2020-11-04 2020-11-05    1 days  None
12     7       290      292  15579.848633  ... 2020-11-05 2020-11-07    2 days  None
13     5       309      311  19107.464844  ... 2020-11-24 2020-11-26    2 days  None
14     4       332      341  22805.162109  ... 2020-12-17 2020-12-26    9 days  None
15     4       341      345  26437.037109  ... 2020-12-26 2020-12-30    4 days  None
16     4       345      348  28840.953125  ... 2020-12-30 2021-01-02    3 days  None
17     4       348      350  32127.267578  ... 2021-01-02 2021-01-04    2 days  None
18     3       352      354  36824.363281  ... 2021-01-06 2021-01-08    2 days  None
19     3       354      356  40797.609375  ... 2021-01-08 2021-01-10    2 days  None
20    -2       481      485  46760.187500  ... 2021-05-15 2021-05-19    4 days  None
21    -3       485      486  37002.441406  ... 2021-05-19 2021-05-20    1 days  None
22     7      1088     1089  18869.587891  ... 2023-01-12 2023-01-13    1 days  None
23     6      1089     1090  19909.574219  ... 2023-01-13 2023-01-14    1 days  None
24     6      1090     1096  20976.298828  ... 2023-01-14 2023-01-20    6 days  None
25     6      1096     1105  22676.552734  ... 2023-01-20 2023-01-29    9 days  None
26     4      1372     1373  33086.234375  ... 2023-10-23 2023-10-24    1 days  None
27     4      1381     1382  35437.253906  ... 2023-11-01 2023-11-02    1 days  None
28     4      1389     1394  36693.125000  ... 2023-11-09 2023-11-14    5 days  None
29     3      1415     1421  44080.648438  ... 2023-12-05 2023-12-11    6 days  None

[30 rows x 13 columns]"
